Country,Visitors,Year
Australia,5532000,2006
Japan,7334000,2006
Italy,41058000,2006
New Zealand,2390000,2006
United States,50977000,2006
United Kingdom,30654000,2006
Brazil,5017000,2006
China,49913000,2006
Czech Republic,6435000,2006
Denmark,9630000,2006
France,77916000,2006
Germany,23569000,2006
Greece,16039000,2006
Mexico,21353000,2006
Spain,58004000,2006
India,4447000,2006
Thailand,13822000,2006
Vietnam,3583000,2006
Australia,5644000,2007
Japan,8347000,2007
Italy,43654000,2007
New Zealand,2434000,2007
United States,56135000,2007
United Kingdom,30870000,2007
Brazil,5026000,2007
China,54720000,2007
Czech Republic,6680000,2007
Denmark,9832000,2007
France,80853000,2007
Germany,24421000,2007
Greece,16165000,2007
Mexico,21606000,2007
Spain,58666000,2007
India,5082000,2007
Thailand,14464000,2007
Vietnam,4229000,2007
Australia,5586000,2008
Japan,8351000,2008
Italy,42734000,2008
New Zealand,2371000,2008
United States,58007000,2008
United Kingdom,30142000,2008
Brazil,5050000,2008
China,53049000,2008
Czech Republic,6649000,2008
Denmark,9564000,2008
France,79218000,2008
Germany,24884000,2008
Greece,15939000,2008
Mexico,22931000,2008
Spain,57192000,2008
India,5283000,2008
Thailand,14584000,2008
Vietnam,4236000,2008
Australia,5490000,2009
Japan,6790000,2009
Italy,43239000,2009
New Zealand,2373000,2009
United States,55103000,2009
United Kingdom,28199000,2009
Brazil,4802000,2009
China,50875000,2009
Czech Republic,6032000,2009
Denmark,9265000,2009
France,76764000,2009
Germany,24220000,2009
Greece,14915000,2009
Mexico,22346000,2009
Spain,52178000,2009
India,5168000,2009
Thailand,14150000,2009
Vietnam,3747000,2009
Australia,5790000,2010
Japan,8611000,2010
Italy,43626000,2010
New Zealand,2435000,2010
United States,60010000,2010
United Kingdom,28295000,2010
Brazil,5161000,2010
China,55664000,2010
Czech Republic,6334000,2010
Denmark,9425000,2010
France,76647000,2010
Germany,26875000,2010
Greece,15007000,2010
Mexico,23290000,2010
Spain,52677000,2010
India,5776000,2010
Thailand,15936000,2010
Vietnam,5050000,2010
Australia,5771000,2011
Japan,6219000,2011
Italy,46119000,2011
New Zealand,2511000,2011
United States,63477410,2011
United Kingdom,29306000,2011
Brazil,5433000,2011
China,57581000,2011
Czech Republic,6715000,2011
Denmark,8471000,2011
France,80499000,2011
Germany,28374000,2011
Greece,16427000,2011
Mexico,23403000,2011
Spain,56177000,2011
India,6309000,2011
Thailand,19230000,2011
Vietnam,6014000,2011
Australia,6032000,2012
Japan,8358000,2012
Italy,46360000,2012
New Zealand,2473000,2012
United States,66966900,2012
United Kingdom,29282000,2012
Brazil,5677000,2012
China,57725000,2012
Czech Republic,7647000,2012
Denmark,8443000,2012
France,81980000,2012
Germany,30411000,2012
Greece,15518000,2012
Mexico,23403000,2012
Spain,57464000,2012
India,6578000,2012
Thailand,22354000,2012
Vietnam,6848000,2012
Australia,6482000,2013
Japan,10364000,2013
Italy,47704000,2013
New Zealand,2629000,2013
United States,71642910,2013
United Kingdom,31063000,2013
Brazil,5813000,2013
China,55686000,2013
Czech Republic,7852000,2013
Denmark,8557000,2013
France,83634000,2013
Germany,31545000,2013
Greece,17920000,2013
Mexico,24151000,2013
Spain,60675000,2013
India,6968000,2013
Thailand,26547000,2013
Vietnam,7572000,2013
Australia,6922000,2014
Japan,13413000,2014
Italy,48576000,2014
New Zealand,2772000,2014
United States,75379350,2014
United Kingdom,32613000,2014
Brazil,6430000,2014
China,55622000,2014
Czech Republic,8096000,2014
Denmark,10267000,2014
France,83701000,2014
Germany,32999000,2014
Greece,22033000,2014
Mexico,29346000,2014
Spain,64939000,2014
India,13107000,2014
Thailand,24810000,2014
Vietnam,7874000,2014
Australia,7449000,2015
Japan,19737000,2015
Italy,50732000,2015
New Zealand,3039000,2015
United States,77773520,2015
United Kingdom,34436000,2015
Brazil,6306000,2015
China,56886000,2015
Czech Republic,8707000,2015
Denmark,10424000,2015
France,84452000,2015
Germany,34970000,2015
Greece,23599000,2015
Mexico,32093000,2015
Spain,68175000,2015
India,13284000,2015
Thailand,29923000,2015
Vietnam,7944000,2015
Australia,8269000,2016
Japan,24040000,2016
Italy,52372000,2016
New Zealand,3370000,2016
United States,76407480,2016
United Kingdom,35814000,2016
Brazil,6547000,2016
China,59270000,2016
Czech Republic,9321000,2016
Denmark,10781000,2016
France,82682000,2016
Germany,35555000,2016
Greece,24799000,2016
Mexico,35079000,2016
Spain,75315000,2016
India,14570000,2016
Thailand,32530000,2016
Vietnam,10013000,2016
Australia,8815000,2017
Japan,28691000,2017
Italy,58253000,2017
New Zealand,3555000,2017
United States,77186740,2017
United Kingdom,37651000,2017
Brazil,6589000,2017
China,60740000,2017
Czech Republic,10160000,2017
Denmark,12426000,2017
France,86758000,2017
Germany,37452000,2017
Greece,27194000,2017
Mexico,39291000,2017
Spain,81869000,2017
India,15543000,2017
Thailand,35592000,2017
Vietnam,12922000,2017
Australia,9246000,2018
Japan,31192000,2018
Italy,61567200,2018
New Zealand,3686000,2018
United States,79745920,2018
United Kingdom,36316000,2018
Brazil,6621000,2018
China,62900000,2018
Czech Republic,10611000,2018
Denmark,12749000,2018
France,89322000,2018
Germany,38881000,2018
Greece,30123000,2018
Mexico,41313000,2018
Spain,82773000,2018
India,17423000,2018
Thailand,38178000,2018
Vietnam,15498000,2018